_id,area,id,hours,parkinglen,shape_area,rate,maxhours,days,objectid,rates,shape_length
2575,North Side,0,8AM - 6PM,10 Hours,16002673.5689697,"$1.50PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,1,$1.50,17727.4090179992
2576,North Shore,0,8AM - 6PM,Unlimited,5335197.36767578,"$3.00PH/4HRS M-SAT,8AM-6PM", ,Mon - Sat,2,$3.00,11762.7337670056
2577,Downtown,0,8AM - 6PM,Unlimited,13649823.071167,"$4PH/2HRS M-SAT,8AM-6PM", ,Mon - Sat,3,$4.00,18684.8718440683
2578,Mount Washington,0,8AM - 6PM,10 Hours,5053195.74520874,"$1PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,4,$1.00,14416.9057824355
2579,South Side,0,8AM - 6PM,10 Hours,19811799.3666992,"$1.50PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,5,$1.50,20903.6140523471
2580,Uptown,0,8AM - 6PM,10 Hours,7650722.77233887,"$1.5PH/10HRS M-SAT,8AM-6PM", ,Mon - Sat,6,$1.50,12089.9536823455
2581,Brookline,0,8AM - 6PM,10 Hours,2407327.45578003,"$1.50PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,7,$1.50,7741.87200853527
2582,CMU,0,8AM - 6PM,10 Hours,5496999.50091553,DYNAMIC RATE PRICING, ,Mon - Sat,8,Dynamic,9198.09256946941
2583,Shadyside,0,8AM - 6PM,10 Hours,1381258.10894775,"$1.5PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,9,$1.50,5040.30005665577
2584,Oakland,0,8AM - 6PM,Unlimited,26940611.5584717,"$3PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,10,$3.00,20236.9360686917
2585,Squirrel Hill,0,8AM - 6PM,10 Hours,8042609.79034424,"$2PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,11,$2.00,12847.1350910875
2586,Squirrel Hill,0,8AM - 6PM,10 Hours,607674.442108154,"$1.5PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,12,$1.50,3443.89721210359
2587,Shadyside,0,8AM - 6PM,10 Hours,6168611.16217041,"$1.5PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,13,$1.50,19536.7854355515
2588,East Liberty,0,8AM - 6PM,10 Hours,4761573.92645264,"$1.5PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,14,$1.50,11686.3568093174
2589,Bloomfield,0,8AM - 6PM,10 Hours,11722951.5648804,"$1.50PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,15,$1.50,15431.2285758994
2590,Lawrenceville,0,8AM - 6PM,10 Hours,1265891.33081055,"$2PH/10HRS M-Sat,8AM-10PM", ,Mon - Sat,16,$2.00,6205.65634063291
2591,Technology Center,0,8AM - 6PM,10 Hours,1545501.96862793,DYNAMIC RATE PRICING, ,Mon - Sat,17,Dynamic,6785.52274200626
2592,Strip District,0,8AM - 6PM,10 Hours,5572937.79199219,"$3PH/2HRS M-SAT,8AM-6PM", ,Mon - Sat,18,$3.00,12114.6221041893
2593,Mellon Park Area,,8AM - 6PM,10 Hours,225760.215454102,,,Mon - Sat,19,$1.50,1956.41486758207
2594,Allentown,,8AM - 6PM,2 Hours,745831.722961426,,,Mon - Sat,20,$1.00,3564.61361987882
2595,West End,,8AM - 6PM,2 Hours,911391.368682861,,,Mon - Sat,21,$1.00,3899.0619037588
2596,Beechview,,8AM - 6PM,2 Hours,1168832.55651855,,,Mon - Sat,22,$1.50,4731.97490494809
2597,Knoxville,,8AM - 6PM,2 Hours,2007968.78027344,,,Mon - Sat,23,$1.00,5961.72941842612
2598,Bakery Square,,8AM - 6PM,Unlimited,204632.000793457,,,Mon - Sat,24,$2.00,2219.18030682016
2599,Carrick,,8AM - 6PM,2 Hours,2495823.33334351,,,Mon - Sat,25,$1.00,6639.71588260412
